seq_ID	annotation	annotation_type	SM	EO
Ev-comp131873_c0_seq1		blast	7.3	5.4
Ev-comp131922_c0_seq1		blast	41.2	11.1
Ev-comp131988_c0_seq1		blast	4.9	2.5
Ev-comp132030_c0_seq1	lmo4a	blast	0.0	37.5
Ev-comp132052_c0_seq2	ARHGAP42 (2 of 2)	blast	4.9	17.3
Ev-comp132106_c0_seq1		blast	0.0	3.3
Ev-comp132311_c0_seq1	plekho1a	blast	12.1	1.6
Ev-comp1325387_c0_seq1	ift88	blast	7.3	25.6
Ev-comp1326033_c0_seq1	VEGFB (1 of 2)	blast	0.0	0.4
Ev-comp132621_c0_seq1	rpe65a	blast	0.0	3.7
Ev-comp132653_c0_seq1	htr3a	blast	0.0	1.2
Ev-comp132665_c0_seq1	sh3bp5b	blast	4.9	4.1
Ev-comp1329486_c0_seq1		blast	7.3	2.9
Ev-comp133070_c0_seq1	CT737227.1	blast	2.4	4.5
Ev-comp133083_c0_seq1		blast	14.6	12.0
Ev-comp133217_c0_seq1		blast	0.0	1.6
Ev-comp1332309_c0_seq1	hnf1a	blast	2.4	3.7
Ev-comp1332716_c0_seq1		blast	17.0	8.2
Ev-comp133545_c0_seq1		blast	0.0	3.3
Ev-comp1336351_c0_seq1		blast	0.0	4.9
Ev-comp133802_c0_seq1		blast	2.4	1.2
Ev-comp1338120_c0_seq1		blast	0.0	1.6
Ev-comp133841_c0_seq1		blast	36.4	20.2
Ev-comp133853_c0_seq1		blast	17.0	22.7
Ev-comp1339391_c0_seq1		blast	0.0	2.5
Ev-comp1341538_c0_seq1		blast	0.0	2.5
Ev-comp134181_c0_seq1	znf395a	blast	135.9	117.5
Ev-comp134405_c0_seq1		blast	4.9	4.1
Ev-comp134445_c0_seq1		blast	0.0	0.8
Ev-comp134462_c0_seq1		blast	0.0	4.1
Ev-comp134795_c0_seq1		blast	2.4	4.5
Ev-comp1350447_c0_seq1		blast	0.0	2.1
Ev-comp135117_c0_seq1		blast	2.4	2.5
Ev-comp135117_c1_seq1		blast	0.0	2.5
Ev-comp1355676_c0_seq1	grm3	blast	2.4	3.3
Ev-comp1357158_c0_seq1		blast	0.0	4.1
Ev-comp135836_c0_seq1	wasb	blast	2.4	9.9
Ev-comp1366311_c0_seq1		blast	2.4	7.4
Ev-comp136786_c0_seq1		blast	21.8	29.7
Ev-comp1368365_c0_seq1		blast	2.4	4.1
Ev-comp136883_c0_seq1	aftpha	blast	9.7	6.2
Ev-comp137255_c0_seq1		blast	0.0	18.5
Ev-comp1372857_c0_seq1	PTS	blast	0.0	4.5
Ev-comp1373842_c0_seq1		blast	0.0	1.6
Ev-comp137526_c0_seq1		blast	0.0	2.5
Ev-comp137612_c0_seq1		blast	94.6	15.3
Ev-comp137761_c0_seq1	XCR1 (1 of 4)	blast	2.4	2.9
Ev-comp1379832_c0_seq1		blast	0.0	5.8
Ev-comp138060_c0_seq1		blast	0.0	3.7
Ev-comp138159_c0_seq1	apobl	blast	0.0	8.7
Ev-comp138445_c0_seq1	opn3	blast	0.0	3.3
Ev-comp138545_c0_seq1		blast	0.0	1.6
Ev-comp139183_c0_seq1		blast	2.4	7.8
Ev-comp139395_c0_seq2		blast	87.3	62.7
Ev-comp1394568_c0_seq1		blast	4.9	3.3
Ev-comp139600_c0_seq1		blast	24.3	15.7
Ev-comp139791_c0_seq1		blast	0.0	0.0
Ev-comp139819_c0_seq1	BX470154.1	blast	0.0	3.7
Ev-comp140146_c0_seq1	depdc1b	blast	4.9	2.1
Ev-comp140185_c0_seq1		blast	0.0	4.5
Ev-comp140737_c0_seq1		blast	0.0	0.8
Ev-comp140852_c0_seq1		blast	0.0	3.7
Ev-comp140982_c0_seq1		blast	0.0	2.1
Ev-comp141005_c0_seq1		blast	9.7	30.5
Ev-comp141160_c0_seq1		blast	4.9	8.7
Ev-comp14128_c0_seq1		blast	0.0	2.9
Ev-comp141295_c0_seq2		blast	0.0	2.1
Ev-comp141414_c0_seq2		blast	0.0	6.2
Ev-comp1414315_c0_seq1		blast	2.4	1.2
Ev-comp142450_c0_seq1	dbh	blast	0.0	2.9
Ev-comp142738_c0_seq1	gabrb2	blast	4.9	0.8
Ev-comp143411_c0_seq1	fbln2	blast	21.8	44.1
Ev-comp1435137_c0_seq1		blast	0.0	1.6
Ev-comp144007_c0_seq1		blast	0.0	6.2
Ev-comp144060_c0_seq1		blast	2.4	1.2
Ev-comp144116_c0_seq1	kif23	blast	0.0	8.2
Ev-comp1443634_c0_seq1	gabrr2a	blast	0.0	0.4
Ev-comp1445057_c0_seq1		blast	7.3	2.9
Ev-comp144650_c0_seq1		blast	376.0	198.7
Ev-comp1447243_c0_seq1		blast	2.4	2.9
Ev-comp1448003_c0_seq1	gpat2	blast	2.4	2.5
Ev-comp1448922_c0_seq1		blast	0.0	0.4
Ev-comp145061_c0_seq1	TPGS1 (2 of 2)	blast	2.4	5.8
Ev-comp145075_c0_seq1		blast	9.7	9.9
Ev-comp145091_c0_seq1	nrbf2	blast	58.2	20.2
Ev-comp145192_c0_seq1	spryd4	blast	26.7	5.8
Ev-comp145325_c0_seq1		blast	9.7	6.6
Ev-comp145343_c0_seq1	SHC3	blast	0.0	4.9
Ev-comp1453650_c0_seq1	cga	blast	0.0	1.6
Ev-comp145396_c0_seq1		blast	0.0	5.8
Ev-comp1454509_c0_seq1	AL844567.2	blast	2.4	2.1
Ev-comp145457_c0_seq1	ponzr4	blast	0.0	20.6
Ev-comp1456809_c0_seq1		blast	0.0	2.5
Ev-comp1457280_c0_seq1	CAMSAP3 (1 of 2)	blast	7.3	3.7
Ev-comp1461544_c0_seq1		blast	9.7	6.2
Ev-comp1463220_c0_seq1		blast	0.0	2.5
Ev-comp146354_c0_seq1	tbcela	blast	29.1	29.7
Ev-comp146358_c0_seq1	rab42a	blast	0.0	5.4
Ev-comp1465101_c0_seq1		blast	0.0	2.5
Ev-comp1465732_c0_seq1		blast	4.9	2.1
Ev-comp1466155_c0_seq1	myt1	blast	0.0	2.1
Ev-comp1466498_c0_seq1		blast	0.0	2.5
Ev-comp1467995_c0_seq1	dna2	blast	12.1	3.3
Ev-comp1468606_c0_seq1	PLEC	blast	9.7	2.1
Ev-comp147000_c0_seq1	upb1	blast	9.7	16.5
Ev-comp1471670_c0_seq1		blast	2.4	5.8
Ev-comp1471697_c0_seq1		blast	0.0	2.5
Ev-comp147197_c0_seq1		blast	26.7	11.5
Ev-comp1472379_c0_seq1		blast	0.0	1.2
Ev-comp1474028_c0_seq1		blast	2.4	10.3
Ev-comp147419_c0_seq2		blast	0.0	2.1
Ev-comp147449_c0_seq2	bora	blast	0.0	0.8
Ev-comp1475583_c0_seq1		blast	0.0	2.9
Ev-comp1475948_c0_seq1		blast	0.0	2.1
Ev-comp1475954_c0_seq1		blast	0.0	1.6
Ev-comp1476578_c0_seq1		blast	0.0	1.6
Ev-comp147675_c0_seq1		blast	14.6	36.3
Ev-comp1476822_c0_seq1	lrrc38	blast	2.4	1.6
Ev-comp1477579_c0_seq1		blast	2.4	2.1
Ev-comp147759_c0_seq1		blast	19.4	1.6
Ev-comp147870_c0_seq1		blast	0.0	3.7
Ev-comp1479122_c0_seq1		blast	2.4	4.5
Ev-comp1479411_c0_seq1		blast	0.0	1.6
Ev-comp147954_c0_seq1	pdzd7a	blast	0.0	3.7
Ev-comp147989_c0_seq1		blast	2.4	0.0
Ev-comp148017_c0_seq1	C3H7orf55	blast	50.9	32.6
Ev-comp1480288_c0_seq1		blast	0.0	1.6
Ev-comp1480839_c0_seq1	BX072576.1	blast	0.0	5.8
Ev-comp148199_c0_seq1		blast	14.6	19.4
Ev-comp1484918_c0_seq1	si:ch211-234e14.2	blast	0.0	3.3
Ev-comp148519_c0_seq1		blast	2.4	2.9
Ev-comp1487705_c0_seq1	crfb12	blast	0.0	4.1
Ev-comp1490019_c0_seq1	UBXN11	blast	9.7	5.8
Ev-comp1492498_c0_seq1	CCDC108	blast	2.4	3.3
Ev-comp1492601_c0_seq1	cngb1a	blast	0.0	2.5
Ev-comp1493366_c0_seq1		blast	0.0	0.8
Ev-comp149574_c0_seq1	CABZ01066734.1	blast	14.6	2.9
Ev-comp14994_c0_seq1		blast	0.0	2.1
Ev-comp149964_c0_seq1		blast	0.0	7.8
Ev-comp149979_c0_seq2		blast	4.9	8.7
Ev-comp150052_c0_seq2		blast	4.9	9.9
Ev-comp1501151_c0_seq1	ncam2	blast	0.0	4.1
Ev-comp1502168_c0_seq1		blast	0.0	1.2
Ev-comp150282_c0_seq1		blast	34.0	15.7
Ev-comp150350_c0_seq1		blast	0.0	1.2
Ev-comp150557_c0_seq1		blast	7.3	25.1
Ev-comp1507086_c0_seq1		blast	0.0	1.6
Ev-comp150725_c0_seq1		blast	2.4	12.0
