group_ID	annotation	annotation_type	EO	SM
comp24952_c0		blast	19.73	0.0
comp24957_c0		blast	22.4	0.0
comp24962_c0		blast	108.79	65.63
comp24967_c0		blast	16.53	3.75
comp24971_c0		blast	4.8	35.63
comp24972_c0		blast	9.07	13.13
comp24976_c0	supt7l	blast	42.13	56.25
comp24994_c0		blast	29.86	48.75
comp24995_c0		blast	12.27	0.0
comp25006_c0		blast	15.47	0.0
comp25015_c0		blast	3.2	285.02
comp250163_c0		blast	18.13	13.13
comp25017_c0		blast	38.93	43.13
comp25018_c0		blast	8.0	28.13
comp25019_c0		blast	46.93	24.38
comp25023_c0		blast	52.26	52.5
comp25026_c0		blast	25.06	35.63
comp250338_c0	ngfr	blast	31.46	24.38
comp25053_c0	glipr2l	blast	59.2	101.26
comp25056_c0		blast	61.33	75.01
comp25056_c1		blast	44.8	39.38
comp25059_c0		blast	0.0	161.26
comp25060_c0		blast	19.73	0.0
comp25060_c1		blast	26.66	0.0
comp25063_c0		blast	25.6	45.0
comp25064_c0		blast	18.13	7.5
comp25066_c0		blast	62.93	22.5
comp25067_c0		blast	55.46	7.5
comp25070_c0		blast	26.13	37.5
comp25075_c0		blast	1.07	97.51
comp250829_c0		blast	32.0	22.5
comp25086_c0	vhl	blast	57.06	103.13
comp25090_c0	TDP2 (2 of 2)	blast	83.19	241.89
comp25105_c0		blast	12.8	410.65
comp25110_c0		blast	13.33	11.25
comp25114_c0		blast	35.73	28.13
comp25129_c0	copb1	blast	553.03	465.03
comp25131_c0	commd3	blast	131.19	210.02
comp25132_c0	fkbp2	blast	264.51	341.27
comp25133_c0	tmem106bb	blast	627.16	478.16
comp25134_c0	timm23	blast	153.59	307.52
comp25136_c0		blast	78.93	43.13
comp25137_c0	gga1	blast	1031.93	534.41
comp25138_c0		blast	124.79	159.39
comp25139_c0	mtx2	blast	383.44	294.4
comp25140_c0	FHL5	blast	3.2	3118.35
comp251407_c0	dnajc3	blast	15.47	41.25
comp25143_c0	yipf4	blast	356.24	318.77
comp25144_c0	pddc1	blast	784.48	140.64
comp25147_c0		blast	414.9	793.18
comp25148_c0	zgc:101744	blast	11.73	1815.13
comp25149_c0	fnta	blast	263.45	405.03
comp25153_c0	gga1	blast	284.25	112.51
comp25154_c0	zgc:153018	blast	726.88	144.39
comp25157_c0	sumf1	blast	187.72	339.4
comp25158_c0	atg12	blast	63.46	97.51
comp25159_c0	mcl1a	blast	264.51	223.14
comp25162_c0		blast	173.32	183.76
comp25163_c0	PLEKHJ1	blast	768.48	1003.2
comp25164_c0		blast	204.79	151.89
comp25165_c0	hmox2a	blast	463.97	832.56
comp25165_c1	dnaja3a	blast	596.22	913.19
comp25166_c0		blast	188.79	121.88
comp25167_c0		blast	527.43	631.92
comp25169_c0		blast	469.3	705.05
comp25170_c0		blast	7.47	71.26
comp25172_c0	hibadhb	blast	500.76	742.55
comp25173_c0	popdc3	blast	442.1	1164.46
comp25174_c0		blast	431.44	97.51
comp25176_c0	chchd1	blast	288.51	320.65
comp25178_c0	zgc:56585	blast	150.39	206.26
comp25179_c0	plp2	blast	1004.19	1230.09
comp25180_c0	rchy1	blast	205.32	255.02
comp25182_c0	commd1	blast	131.72	52.5
comp25184_c0	hig1	blast	168.52	523.16
comp25185_c0	mrpl20	blast	102.93	80.63
comp25186_c0		blast	56.53	24.38
comp25187_c0	glrx5	blast	212.78	217.52
comp25188_c0	ACYP2	blast	102.93	755.68
comp25190_c0	hbegfb	blast	901.8	88.13
comp25191_c0	phpt1	blast	213.32	333.77
comp25192_c0	PPID	blast	642.09	517.54
comp25192_c1		blast	63.46	116.26
comp25193_c0		blast	208.52	217.52
comp25194_c0	ypel5	blast	371.71	315.02
comp25195_c0	sdcbp2	blast	315.71	393.78
comp25196_c0	echs1	blast	143.46	386.28
comp25197_c0	SLC25A24	blast	658.09	215.64
comp25198_c0	blcap	blast	275.71	431.28
comp25199_c0	fas	blast	185.59	380.65
comp25200_c0		blast	320.51	279.4
comp25201_c0	med31	blast	167.45	174.39
comp25202_c0		blast	93.86	3.75
comp25203_c0	hsd17b14	blast	235.72	60.0
comp25207_c0	aamp	blast	293.31	341.27
comp25208_c0	cxcl-c5c	blast	114.66	161.26
comp25209_c0		blast	141.86	150.01
comp25210_c0	gtpbpl	blast	174.92	275.64
comp25212_c0	ddit4	blast	77.33	15.0
comp25216_c0	csrp1a	blast	141.86	436.91
comp25217_c0		blast	90.66	210.02
comp25217_c1	hbegfa	blast	187.72	551.29
comp25218_c0	ell	blast	328.51	273.77
comp25219_c0	si:ch73-91k6.2	blast	281.58	273.77
comp25221_c0		blast	77.33	131.26
comp25223_c0		blast	118.39	58.13
comp25224_c0	si:dkey-24n17.5	blast	566.36	245.64
comp25225_c1	hax1	blast	197.85	193.14
comp25228_c1		blast	302.38	52.5
comp25230_c0	opa3	blast	358.37	232.52
comp25235_c0		blast	134.39	129.38
comp25236_c0	PITHD1	blast	239.45	268.14
comp25237_c0		blast	139.19	281.27
comp25239_c0		blast	178.12	46.88
comp25239_c1		blast	136.52	24.38
comp25240_c0		blast	13.33	112.51
comp25245_c0	mrps7	blast	155.19	135.01
comp25246_c0	ATF5 (2 of 2)	blast	662.89	2152.65
comp25249_c0	bag3	blast	438.37	1393.22
comp25250_c0	ap3s2	blast	131.72	97.51
comp25251_c0	smcr7b	blast	298.11	326.27
comp25252_c0		blast	87.99	571.92
comp25255_c0	CCDC115	blast	224.52	133.13
comp25256_c0	ptbp1b	blast	631.95	290.65
comp25258_c0	rnf7	blast	466.1	654.42
comp25259_c0		blast	937.53	523.16
comp25260_c0		blast	334.38	1031.32
comp25261_c0	psmc5	blast	961.0	645.05
comp25262_c0	cmlc1	blast	0.53	11312.69
comp25264_c0	sars	blast	1122.59	1843.26
comp25265_c0		blast	586.62	268.14
comp25266_c0		blast	2795.53	3399.62
comp25267_c0	ndufa12	blast	413.84	624.42
comp25268_c0	nans	blast	311.98	170.64
comp25269_c0	ndufb4	blast	577.56	618.79
comp25270_c0	GABARAP (1 of 2)	blast	1432.96	1672.62
comp25271_c0	MTUS1 (2 of 2)	blast	1910.26	71.26
comp25272_c0	C3H22orf32	blast	649.55	363.78
comp25273_c0		blast	18.67	1.88
comp25274_c0	SHISA5	blast	503.96	774.43
comp25274_c1	klhl31	blast	1496.43	13334.08
comp25276_c0	ndufa9	blast	1009.53	1693.25
comp25279_c0	itm2ba	blast	1877.2	1224.46
comp25281_c0	UQCRFS1 (2 of 2)	blast	630.35	1066.95
comp25282_c0	hmgb1a	blast	998.86	436.91
comp25283_c0	si:ch211-105c13.3	blast	2022.79	2148.9
comp25284_c0	rcn3	blast	1651.61	1421.35
comp25285_c2		blast	69.33	5.63
comp25285_c3		blast	892.74	65.63
comp25286_c0	ptar1	blast	609.02	56.25
comp25287_c0	tagln2	blast	802.08	856.94
comp25288_c0	C24H11orf54	blast	820.74	331.9
comp25289_c0	spag7	blast	1108.19	1222.59
comp25290_c0	nfil3	blast	1513.49	316.9
comp25291_c0	srl	blast	8.53	24551.13
comp25293_c0		blast	522.63	1387.6
comp25293_c1	hmgb3b	blast	367.97	1860.13
comp25294_c0	lsm12	blast	1062.86	825.06
comp25294_c1		blast	75.73	39.38
comp25295_c0	slc25a11	blast	665.02	1365.1
comp25295_c1		blast	482.1	903.81
comp25296_c0	ybx1	blast	444.77	999.45
comp25299_c0	ndufb6	blast	197.32	125.63
comp25300_c0	hnrnpa0a	blast	2507.02	1931.39
comp25301_c0		blast	5270.56	3812.15
comp25302_c0	skp1	blast	5158.03	4562.2
comp25303_c0	rxrgb	blast	2985.92	1085.7
comp25304_c0		blast	1718.81	2574.56
comp25305_c0	atp5g3b	blast	1533.22	2244.54
comp25306_c0	atp5f1	blast	3955.45	4500.32
comp25307_c0	rpl35	blast	8519.92	14502.29
comp25308_c0	rps18	blast	10343.26	14946.7
comp25309_c0	rpl13a	blast	9972.62	22139.71
comp25310_c0		blast	46399.87	5601.03
comp25311_c0	rpl18a	blast	6905.64	15672.37
comp25312_c0	rpl28	blast	7401.6	8063.08
comp25313_c0		blast	621.82	879.44
comp25313_c1		blast	422.9	798.81
comp25315_c0		blast	7958.9	18134.42
comp25316_c0	rpsa	blast	17620.07	37092.03
comp25318_c0		blast	412.24	187.51
comp25318_c1	rps15a	blast	3255.23	5672.28
comp25320_c0	rps3	blast	7434.13	11022.04
comp25321_c0	eno3	blast	115253.07	507251.98
comp25322_c0	eef1b2	blast	8251.68	32064.8
comp25323_c1	rpl5a	blast	17977.38	31061.6
comp25324_c0		blast	841.54	832.56
comp25325_c0	tnnt1	blast	12.8	11695.21
comp25326_c0	tceb1b	blast	1256.98	1325.72
